gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000102606.17,ARHGEF7,-0.2764390707015991,NA,0.7822108513118629,0.010901628112170613,NA,NA,NA,1,1.0,1,0.7822108513118629,0.16173648747021696
ENSG00000181036.13,FCRL6,-0.27633884549140925,NA,0.782287822638764,3.170129807857083e-10,NA,NA,NA,1,1.0,1,0.782287822638764,6.121315820586391e-05
ENSG00000276855.1,CTD-3157E16.2,0.2757633328437805,NA,0.7827298482115461,0.09304145161455975,NA,NA,NA,1,1.0,1,0.7827298482115461,0.44105970168269604
ENSG00000169860.6,P2RY1,-0.27569507028908485,NA,0.7827822822893444,8.95262942735927e-05,NA,NA,NA,2,2.0,2,0.5249116028193337,0.0338128131115225
ENSG00000067113.16,PLPP1,0.2756807913006071,NA,0.7827932504418775,0.00025958174829244905,NA,NA,NA,2,2.0,2,0.7534174100306295,0.041159697294680005
ENSG00000081026.18,MAGI3,-0.2756729722023011,NA,0.782799256562287,1.788027459592479e-11,NA,NA,NA,1,1.0,1,0.7827992565622871,6.9526537855913695e-06
ENSG00000160445.10,ZER1,-0.27567183971405024,NA,0.7828001264668365,3.6326073855616897e-06,NA,NA,NA,1,1.0,1,0.7828001264668365,0.00717804402805839
ENSG00000104824.16,HNRNPL,-0.27558812499046326,NA,0.7828644314787877,0.005508179665410284,NA,NA,NA,1,2.0,2,0.7828644314787877,0.266382250802932
ENSG00000076924.11,XAB2,-0.2750924527645111,NA,0.7832452098008953,0.009503973487393591,NA,NA,NA,1,1.0,1,0.7832452098008953,0.151013208077999
ENSG00000170500.12,LONRF2,0.27505427598953247,NA,0.7832745395789348,8.651105393391179e-05,NA,NA,NA,1,1.0,1,0.7832745395789348,0.0513891423852056
ENSG00000262246.5,CORO7,0.27501407265663147,NA,0.7833054266180235,0.08156699262137382,NA,NA,NA,1,1.0,1,0.7833054266180235,0.469321054287945
ENSG00000115112.7,TFCP2L1,0.2749727666378022,NA,0.7833371611739848,0.0014023343547189175,NA,NA,NA,1,1.0,1,0.7833371611739848,0.206900411923871
ENSG00000185201.16,IFITM2,0.2749030552249519,NA,0.783390719821384,0.08346824046802953,NA,NA,NA,3,3.0,3,0.3840680994083201,0.35835470999282004
ENSG00000260032.1,NORAD,-0.27463027834892273,NA,0.7836003016893666,0.0036260634918908762,NA,NA,NA,1,1.0,1,0.7836003016893666,0.112431357800062
ENSG00000185972.5,CCIN,-0.27459380030632025,NA,0.7836283299488442,0.00023249225159251998,NA,NA,NA,1,1.0,1,0.7836283299488442,0.023982670058899
ENSG00000124203.6,ZNF831,-0.2745086550712586,NA,0.7836937532122616,8.578140299043165e-06,NA,NA,NA,1,1.0,1,0.7836937532122616,0.00624759827033503
ENSG00000075240.16,GRAMD4,-0.2744342982769013,NA,0.7837508881845479,7.147048968996595e-05,NA,NA,NA,1,1.0,1,0.7837508881845479,0.0196922675280588
ENSG00000160838.13,LRRC71,0.2738504409790039,NA,0.7841995584375667,0.000526089096429746,NA,NA,NA,1,1.0,1,0.7841995584375667,0.0732182805898234
ENSG00000259511.2,UBE2Q2L,-0.27381351694828654,NA,0.7842279354458268,0.21694015686889156,NA,NA,NA,2,2.0,2,0.21039634638172033,0.525651492684844
ENSG00000204392.10,LSM2,0.27346178889274597,NA,0.7844982613186353,0.0025722611140787223,NA,NA,NA,1,1.0,1,0.7844982613186353,0.322167990750263
ENSG00000146072.6,TNFRSF21,-0.2734025418758392,NA,0.7845437990618761,2.3960195941513714e-05,NA,NA,NA,1,1.0,1,0.7845437990618761,0.0310935311032316
ENSG00000118004.17,COLEC11,-0.27327751946259893,NA,0.7846398947347581,0.5269837568022517,NA,NA,NA,3,3.0,3,0.5813432382808137,1.15877669042243
ENSG00000196378.11,ZNF34,0.27324485778808594,NA,0.7846649999390263,0.04158152452104176,NA,NA,NA,1,2.0,2,0.7846649999390263,0.36329308309329705
ENSG00000223501.8,VPS52,0.2732313573360443,NA,0.7846753770476373,0.0022251246219099777,NA,NA,NA,1,1.0,1,0.7846753770476373,0.21467269433834305
ENSG00000172172.7,MRPL13,-0.2731302678585053,NA,0.78475308058713,0.0008793675268617977,NA,NA,NA,1,1.0,1,0.7847530805871301,0.0454563334240565
ENSG00000172167.7,MTBP,0.2731302678585052,NA,0.7847530805871301,0.06796577423004967,NA,NA,NA,1,1.0,1,0.7847530805871301,0.399626541218395
ENSG00000139874.5,SSTR1,-0.2730885148048401,NA,0.7847851751574775,5.394226124474804e-05,NA,NA,NA,1,2.0,2,0.7847851751574775,0.010631066789372
ENSG00000107968.9,MAP3K8,-0.2730185091495514,NA,0.7848389876458218,1.265114290829736e-05,NA,NA,NA,1,1.0,1,0.7848389876458218,0.005133923782093279
ENSG00000055208.18,TAB2,-0.27288949489593506,NA,0.7849381620138917,0.0008147800464538932,NA,NA,NA,1,1.0,1,0.7849381620138917,0.0386625458292742
ENSG00000156564.8,LRFN2,0.2728083729743958,NA,0.785000522921842,5.7514932096218255e-05,NA,NA,NA,1,1.0,1,0.7850005229218421,0.0285619064754123
ENSG00000180776.15,ZDHHC20,0.27280041575431824,NA,0.7850066399551838,0.006850028670786244,NA,NA,NA,1,1.0,1,0.7850066399551838,0.12401714822263402
ENSG00000178187.7,ZNF454,0.2725741304054508,NA,0.785180600110298,0.08035705500922431,NA,NA,NA,2,2.0,2,0.6658549740207138,0.430838945402521
ENSG00000139194.7,RBP5,-0.2724382236255016,NA,0.7852850855833151,0.0007337649073751489,NA,NA,NA,2,2.0,2,0.17707050939090485,0.0410492901661977
ENSG00000204677.10,FAM153C,-0.27239271667384396,NA,0.7853200723064688,0.04932719534392698,NA,NA,NA,2,2.0,2,0.5072931902821466,0.28207089162231896
ENSG00000111644.7,ACRBP,-0.27238106727600103,NA,0.7853290286837977,3.468274319856243e-05,NA,NA,NA,1,1.0,1,0.7853290286837978,0.0202471072879679
ENSG00000160741.16,CRTC2,-0.27230593562126165,NA,0.7853867926481364,1.8618009216812036e-06,NA,NA,NA,1,1.0,1,0.7853867926481364,0.00866745275097397
ENSG00000148459.15,PDSS1,0.27206399683085236,NA,0.785572812068561,0.005439545302975686,NA,NA,NA,2,2.0,2,0.22501578470269612,0.39908235239366496
ENSG00000283267.1,CTB-16J4.1,-0.2720341682434082,NA,0.7855957472156091,0.02095720495582806,NA,NA,NA,1,1.0,1,0.7855957472156091,0.278578118181926
ENSG00000198774.4,RASSF9,0.2720009386539459,NA,0.7856212976061139,0.0002889324434430756,NA,NA,NA,1,1.0,1,0.7856212976061139,0.0349367202184642
ENSG00000187961.13,KLHL17,0.27197399735450745,NA,0.7856420130698198,0.0019460226928662014,NA,NA,NA,1,2.0,2,0.7856420130698198,0.186694018236908
ENSG00000047932.13,GOPC,-0.27186889559976785,NA,0.7857228284247754,0.0006980570540247244,NA,NA,NA,2,2.0,2,0.057083833390907154,0.0525550521359429
ENSG00000119326.14,CTNNAL1,0.2716392004949681,NA,0.7858994547443794,0.15565759184871522,NA,NA,NA,3,3.0,3,0.4510687506242723,0.6386362908460961
ENSG00000150316.11,CWC15,-0.27155300974845886,NA,0.7859657348143165,0.016763867222319633,NA,NA,NA,1,2.0,2,0.7859657348143165,0.250611963666796
ENSG00000196912.12,ANKRD36B,0.27150349648507965,NA,0.7860038108626537,0.07316879478028344,NA,NA,NA,2,2.0,2,0.1883897597212657,0.41738113611803496
ENSG00000129347.19,KRI1,0.27133997510775976,NA,0.7861295635899412,0.3381396202666215,NA,NA,NA,3,3.0,3,0.30255361315104023,0.5694306122928959
ENSG00000225518.2,LINC01703,0.27133423617869873,NA,0.7861339770958007,0.02792059843178713,NA,NA,NA,2,2.0,2,0.36226474712659806,0.256264678657481
ENSG00000144229.11,THSD7B,-0.2711041911051857,NA,0.7863108982144529,0.030337191320719655,NA,NA,NA,2,2.0,2,0.7957592957543975,0.164710441891571
ENSG00000267575.6,CTC-459F4.3,0.2710996270179748,NA,0.7863144084356868,0.02495722695387325,NA,NA,NA,1,1.0,1,0.7863144084356867,0.310456467263183
ENSG00000089250.18,NOS1,0.2710290551185608,NA,0.786368685554237,0.03112847617274953,NA,NA,NA,1,1.0,1,0.786368685554237,0.254812871122367
ENSG00000101417.11,PXMP4,-0.270654177534576,NA,0.7866570227406139,0.0052865878299199,NA,NA,NA,2,2.0,2,0.7869864129752048,0.141588599915238
ENSG00000274422.1,LL22NC03-2H8.5,0.2705683410167694,NA,0.786723048037296,0.0779402773433286,NA,NA,NA,1,1.0,1,0.786723048037296,0.38561733652011404
ENSG00000138399.17,FASTKD1,0.27051503534580873,NA,0.7867640514363591,0.2317248010505893,NA,NA,NA,2,2.0,2,0.4860024750455366,0.553556224953928
ENSG00000163263.6,C1orf189,0.2705056071281433,NA,0.7867713038026628,7.505742718703546e-07,NA,NA,NA,1,1.0,1,0.7867713038026628,0.0028171649967081
ENSG00000160097.16,FNDC5,0.2704431712627411,NA,0.7868193311375637,0.00044678378510506036,NA,NA,NA,1,1.0,1,0.7868193311375637,0.0440992297859494
ENSG00000162641.18,AKNAD1,0.2703715393872254,NA,0.786874433287925,0.00015996042533367746,NA,NA,NA,2,2.0,2,0.09667315657582959,0.046236071671626994
ENSG00000250067.11,YJEFN3,-0.2701284982157477,NA,0.7870613983877867,0.00027093103062944557,NA,NA,NA,2,2.0,2,0.3141357348724916,0.11724110901117
ENSG00000130640.13,TUBGCP2,0.27007126808166504,NA,0.7871054257915601,0.007993502321428422,NA,NA,NA,1,1.0,1,0.7871054257915601,0.26354959844408
ENSG00000026297.15,RNASET2,0.27005040645599365,NA,0.7871214749048038,0.009886534885605662,NA,NA,NA,1,2.0,2,0.7871214749048038,0.14362465676291
ENSG00000164736.5,SOX17,-0.2699914574623108,NA,0.7871668256020635,2.9490828044478925e-05,NA,NA,NA,1,1.0,1,0.7871668256020635,0.009996502856170259
ENSG00000212864.3,RNF208,0.26993516087532043,NA,0.7872101364210342,0.0006814975310594951,NA,NA,NA,1,1.0,1,0.7872101364210342,0.0575039084971235
ENSG00000087884.14,AAMDC,0.26992675662040716,NA,0.7872166021476684,0.008444157392227694,NA,NA,NA,1,1.0,1,0.7872166021476685,0.23173578832265102
ENSG00000048649.13,RSF1,0.26992675662040705,NA,0.7872166021476685,0.001622703994387959,NA,NA,NA,1,1.0,1,0.7872166021476685,0.10158617363822
ENSG00000182534.13,MXRA7,0.2699200082481282,NA,0.787221793948734,0.4259951079596452,NA,NA,NA,3,3.0,3,0.35021214629166986,0.9533821242202429
ENSG00000180660.7,MAB21L1,0.2698338769970034,NA,0.7872880591024264,0.0010667852091813142,NA,NA,NA,2,2.0,2,0.790793213058847,0.0415336912201327
ENSG00000137497.17,NUMA1,-0.26978182792663574,NA,0.7873281038469954,0.00018999105232265763,NA,NA,NA,1,1.0,1,0.7873281038469954,0.087557113654341
ENSG00000152669.8,CCNO,-0.26972701418528355,NA,0.7873702762411707,0.04260974683235183,NA,NA,NA,2,3.0,3,0.43318856808332706,0.564295016953212
ENSG00000140564.11,FURIN,0.2695072591304779,NA,0.7875393568343771,0.0025851274193226057,NA,NA,NA,1,1.0,1,0.7875393568343771,0.0785851833027541
ENSG00000170191.4,NANP,0.26928973197937006,NA,0.7877067331302379,0.0005691102437198083,NA,NA,NA,1,1.0,1,0.7877067331302379,0.0948650418951919
ENSG00000197208.5,SLC22A4,-0.26871925592422485,NA,0.788145732563726,0.006287756036982965,NA,NA,NA,1,1.0,1,0.788145732563726,0.113598027616231
ENSG00000274718.1,RP11-346C4.3,-0.26863589882850647,NA,0.7882098841336818,0.04210822121986639,NA,NA,NA,1,1.0,1,0.7882098841336818,0.31236446364264897
ENSG00000246223.8,LINC01550,0.2685253466887309,NA,0.7882949672088632,0.004847144351647223,NA,NA,NA,2,2.0,2,0.10106033134079967,0.162424054496817
ENSG00000197223.11,C1D,0.26822662353515625,NA,0.7885248829837951,4.144421294054984e-05,NA,NA,NA,1,1.0,1,0.7885248829837951,0.00893230518780474
ENSG00000151461.19,UPF2,0.2681158781051636,NA,0.7886101241834429,0.0014316639076579771,NA,NA,NA,1,1.0,1,0.7886101241834429,0.0870003474912854
